passenger_id,hall_arrival_time,origin_floor,destination_floor,group_size,luggage_factor,call_time,assigned_car_id,board_time,arrival_time,status,waiting_time,ride_time,total_service_time
P00001,1.864,3,1,1,1.0,1.864,C2,9.364,19.664,ARRIVED,7.500000000000001,10.3,17.8
P00002,4.656,8,1,1,1.0,4.656,C1,24.656,47.455999999999996,ARRIVED,20.0,22.799999999999997,42.8
P00003,29.246,4,1,1,1.0,29.246,C2,39.245999999999995,52.046,ARRIVED,9.999999999999996,12.800000000000004,22.8
P00004,31.577,3,1,1,1.0,31.577,C3,39.077,49.377,ARRIVED,7.4999999999999964,10.300000000000004,17.8
P00005,37.531,8,1,1,1.0,37.531,C1,68.95599999999999,101.356,ARRIVED,31.42499999999999,32.400000000000006,63.824999999999996
P00006,60.661,6,1,1,1.0,60.661,C2,75.661,93.461,ARRIVED,15.0,17.799999999999997,32.8
P00007,62.053,3,1,1,1.0,62.053,C3,69.553,99.453,ARRIVED,7.5,29.900000000000006,37.400000000000006
P00008,68.37,5,1,1,1.0,68.37,C3,79.253,99.453,ARRIVED,10.882999999999996,20.200000000000003,31.083
P00009,70.634,5,1,1,1.0,70.634,C1,84.856,101.356,ARRIVED,14.221999999999994,16.5,30.721999999999994
P00010,70.641,8,1,1,1.0,70.641,C1,72.65599999999999,101.356,ARRIVED,2.0149999999999864,28.700000000000003,30.71499999999999
P00011,72.306,5,1,1,1.0,72.306,C3,79.253,99.453,ARRIVED,6.947000000000003,20.200000000000003,27.147000000000006
P00012,81.782,6,1,1,1.0,81.782,C2,109.961,158.361,ARRIVED,28.179000000000002,48.39999999999999,76.579
P00013,89.184,3,1,1,1.0,89.184,C1,110.356,120.65599999999999,ARRIVED,21.171999999999997,10.299999999999997,31.471999999999994
P00014,99.614,2,1,1,1.0,99.614,C2,124.661,158.361,ARRIVED,25.046999999999997,33.69999999999999,58.746999999999986
P00015,113.212,6,1,1,1.0,113.212,C2,139.361,158.361,ARRIVED,26.148999999999987,19.0,45.14899999999999
P00016,128.685,7,1,1,1.0,128.685,C1,146.185,171.78499999999997,ARRIVED,17.5,25.599999999999966,43.099999999999966
P00017,138.167,6,1,1,1.0,138.167,C1,153.385,171.78499999999997,ARRIVED,15.21799999999999,18.399999999999977,33.61799999999997
P00018,140.665,2,1,1,1.0,140.665,C3,145.665,153.46499999999997,ARRIVED,5.0,7.799999999999983,12.799999999999983
P00019,142.341,4,1,1,1.0,142.341,C2,169.861,187.96099999999996,ARRIVED,27.519999999999982,18.099999999999966,45.61999999999995
P00020,164.158,3,1,1,1.0,164.158,C2,177.06099999999998,187.96099999999996,ARRIVED,12.902999999999992,10.899999999999977,23.80299999999997
P00021,183.953,8,1,1,1.0,183.953,C2,209.46099999999996,232.26099999999994,ARRIVED,25.507999999999953,22.799999999999983,48.307999999999936
P00022,185.51,5,1,1,1.0,185.51,C1,198.01,254.20999999999998,ARRIVED,12.5,56.19999999999999,68.69999999999999
P00023,189.789,8,1,1,1.0,189.789,C1,210.20999999999998,254.20999999999998,ARRIVED,20.420999999999992,44.0,64.42099999999999
P00024,203.302,6,1,1,1.0,203.302,C1,220.60999999999999,254.20999999999998,ARRIVED,17.307999999999993,33.599999999999994,50.90799999999999
P00025,206.206,8,1,1,1.0,206.206,C1,210.20999999999998,254.20999999999998,ARRIVED,4.003999999999991,44.0,48.00399999999999
P00026,217.516,6,1,1,1.0,217.516,C2,248.76099999999994,271.8609999999999,ARRIVED,31.244999999999948,23.099999999999937,54.344999999999885
P00027,230.287,5,1,1,1.0,230.287,C3,242.787,263.387,ARRIVED,12.5,20.599999999999994,33.099999999999994
P00028,232.335,3,1,1,1.0,232.335,C3,252.487,263.387,ARRIVED,20.151999999999987,10.900000000000006,31.051999999999992
P00029,241.04,3,1,1,1.0,241.04,C2,260.9609999999999,271.8609999999999,ARRIVED,19.920999999999907,10.899999999999977,30.820999999999884
P00030,248.261,2,1,1,1.0,248.261,C1,260.71,308.4099999999999,ARRIVED,12.448999999999984,47.69999999999993,60.148999999999916
P00031,251.119,7,1,1,1.0,251.119,C1,277.90999999999997,308.4099999999999,ARRIVED,26.79099999999997,30.499999999999943,57.29099999999991
P00032,260.994,8,1,1,1.0,260.994,C3,284.887,307.687,ARRIVED,23.892999999999972,22.80000000000001,46.692999999999984
P00033,274.429,6,1,1,1.0,274.429,C1,285.10999999999996,308.4099999999999,ARRIVED,10.680999999999983,23.299999999999955,33.98099999999994
P00034,284.614,6,1,1,1.0,284.614,C1,285.10999999999996,308.4099999999999,ARRIVED,0.4959999999999809,23.299999999999955,23.795999999999935
P00035,292.945,3,1,1,1.0,292.945,C1,317.4099999999999,395.5099999999998,ARRIVED,24.464999999999918,78.09999999999991,102.56499999999983
P00036,295.68,7,1,1,1.0,295.68,C3,326.687,356.587,ARRIVED,31.007000000000005,29.899999999999977,60.90699999999998
P00037,305.072,6,1,1,1.0,305.072,C3,333.887,356.587,ARRIVED,28.814999999999998,22.69999999999999,51.514999999999986
P00038,312.416,7,1,1,1.0,312.416,C1,332.1099999999999,395.5099999999998,ARRIVED,19.693999999999903,63.39999999999992,83.09399999999982
P00039,314.539,4,1,1,1.0,314.539,C2,324.539,341.63899999999995,ARRIVED,10.0,17.099999999999966,27.099999999999966
P00040,315.252,4,1,1,1.0,315.252,C2,324.539,341.63899999999995,ARRIVED,9.286999999999978,17.099999999999966,26.386999999999944
P00041,333.824,3,1,1,1.0,333.824,C1,346.8099999999999,395.5099999999998,ARRIVED,12.985999999999876,48.69999999999993,61.68599999999981
P00042,334.553,6,1,1,1.0,334.553,C3,337.587,356.587,ARRIVED,3.033999999999992,19.0,22.033999999999992
