passenger_id,hall_arrival_time,origin_floor,destination_floor,group_size,luggage_factor,call_time,assigned_car_id,board_time,arrival_time,status,waiting_time,ride_time,total_service_time
P00001,14.242,5,1,1,1.0,14.242,C1,26.742,62.342000000000006,ARRIVED,12.5,35.60000000000001,48.10000000000001
P00002,15.694,5,1,1,1.0,15.694,C2,28.194000000000003,43.49400000000001,ARRIVED,12.500000000000002,15.300000000000004,27.800000000000004
P00003,25.982,8,1,1,1.0,25.982,C1,38.942,62.342000000000006,ARRIVED,12.96,23.400000000000006,36.36000000000001
P00004,36.918,2,1,1,1.0,36.918,C3,41.918,49.718,ARRIVED,5.0,7.800000000000004,12.800000000000004
P00005,45.556,2,1,1,1.0,45.556,C3,56.218,64.018,ARRIVED,10.662000000000006,7.799999999999997,18.462000000000003
P00006,50.671,2,1,1,1.0,50.671,C2,55.671,63.471000000000004,ARRIVED,5.0,7.800000000000004,12.800000000000004
P00007,51.322,8,1,1,1.0,51.322,C1,83.84200000000001,117.24200000000002,ARRIVED,32.52000000000001,33.400000000000006,65.92000000000002
P00008,60.228,2,1,1,1.0,60.228,C2,69.971,77.771,ARRIVED,9.743000000000002,7.799999999999997,17.543
P00009,79.426,4,1,1,1.0,79.426,C1,98.54200000000002,117.24200000000002,ARRIVED,19.116000000000014,18.700000000000003,37.81600000000002
P00010,96.342,3,1,1,1.0,96.342,C1,105.74200000000002,117.24200000000002,ARRIVED,9.40000000000002,11.5,20.90000000000002
P00011,98.272,8,1,1,1.0,98.272,C2,118.272,176.57199999999995,ARRIVED,20.0,58.29999999999994,78.29999999999994
P00012,116.101,6,1,1,1.0,116.101,C2,127.97200000000001,176.57199999999995,ARRIVED,11.87100000000001,48.59999999999994,60.47099999999995
P00013,123.334,2,1,1,1.0,123.334,C1,128.334,136.134,ARRIVED,5.0,7.799999999999983,12.799999999999983
P00014,128.871,6,1,1,1.0,128.871,C2,131.672,176.57199999999995,ARRIVED,2.8009999999999877,44.89999999999995,47.70099999999994
P00015,131.288,4,1,1,1.0,131.288,C2,141.37199999999999,176.57199999999995,ARRIVED,10.083999999999975,35.19999999999996,45.283999999999935
