car_id,total_distance_floors,empty_distance_floors,loaded_distance_floors,stop_count,door_open_count,average_load,average_occupancy_rate,busy_seconds,idle_seconds
C1,662.0,329.0,333.0,242,242,0.3132210256957038,0.02088140171304692,2759.599999999992,6619.399999999981
C2,655.0,292.0,363.0,253,253,0.36947295644312117,0.02463153042954141,2771.499999999993,6629.999999999985
C3,1121.0,675.0,446.0,281,281,0.3237789546889211,0.021585263645928072,4053.6999999999866,5292.799999999992
