passenger_id,hall_arrival_time,origin_floor,destination_floor,group_size,luggage_factor,call_time,assigned_car_id,board_time,arrival_time,status,waiting_time,ride_time,total_service_time
P00001,8.792,6,1,1,1.0,8.792,C3,23.792,46.89200000000001,ARRIVED,15.000000000000002,23.10000000000001,38.10000000000001
P00002,9.22,6,1,1,1.0,9.22,C1,24.22,47.32000000000001,ARRIVED,14.999999999999998,23.10000000000001,38.10000000000001
P00003,13.57,7,1,1,1.0,13.57,C2,31.07,56.67,ARRIVED,17.5,25.6,43.1
P00004,15.872,2,1,1,1.0,15.872,C3,38.492000000000004,46.89200000000001,ARRIVED,22.620000000000005,8.400000000000006,31.02000000000001
P00005,18.754,3,1,1,1.0,18.754,C2,45.769999999999996,56.67,ARRIVED,27.015999999999995,10.900000000000006,37.916
P00006,26.297,4,1,1,1.0,26.297,C1,33.92,47.32000000000001,ARRIVED,7.623000000000001,13.400000000000006,21.023000000000007
P00007,42.344,5,1,1,1.0,42.344,C1,61.32000000000001,76.62,ARRIVED,18.976000000000006,15.299999999999997,34.276
P00008,48.112,4,1,1,1.0,48.112,C2,68.17,80.97,ARRIVED,20.058,12.799999999999997,32.858
P00009,64.956,8,1,1,1.0,64.956,C1,98.12,151.52,ARRIVED,33.164,53.400000000000006,86.56400000000001
P00010,72.743,6,1,1,1.0,72.743,C2,97.47,132.17000000000002,ARRIVED,24.727000000000004,34.70000000000002,59.42700000000002
P00011,78.262,6,1,1,1.0,78.262,C2,97.47,132.17000000000002,ARRIVED,19.208,34.70000000000002,53.908000000000015
P00012,80.791,4,1,1,1.0,80.791,C1,112.82000000000001,151.52,ARRIVED,32.02900000000001,38.7,70.72900000000001
P00013,84.354,5,1,1,1.0,84.354,C3,96.854,127.754,ARRIVED,12.5,30.900000000000006,43.400000000000006
P00014,89.649,3,1,1,1.0,89.649,C3,116.254,127.754,ARRIVED,26.605000000000004,11.5,38.105000000000004
P00015,89.726,6,1,1,1.0,89.726,C3,104.054,127.754,ARRIVED,14.328000000000003,23.700000000000003,38.028000000000006
P00016,94.391,7,1,1,1.0,94.391,C2,105.37,132.17000000000002,ARRIVED,10.979,26.80000000000001,37.77900000000001
P00017,100.955,3,1,1,1.0,100.955,C2,120.07000000000001,132.17000000000002,ARRIVED,19.11500000000001,12.100000000000009,31.215000000000018
P00018,108.046,8,1,1,1.0,108.046,C1,127.52000000000001,151.52,ARRIVED,19.474000000000004,24.0,43.474000000000004
P00019,122.044,5,1,1,1.0,122.044,C3,141.75400000000002,162.35399999999998,ARRIVED,19.710000000000022,20.599999999999966,40.30999999999999
P00020,125.767,3,1,1,1.0,125.767,C2,141.17000000000002,151.47,ARRIVED,15.40300000000002,10.299999999999983,25.703000000000003
P00021,130.858,3,1,1,1.0,130.858,C3,151.454,162.35399999999998,ARRIVED,20.596000000000004,10.899999999999977,31.49599999999998
P00022,143.376,5,1,1,1.0,143.376,C2,170.17,186.06999999999996,ARRIVED,26.793999999999983,15.899999999999977,42.69399999999996
P00023,145.556,6,1,1,1.0,145.556,C1,168.02,191.11999999999998,ARRIVED,22.464,23.099999999999966,45.563999999999965
P00024,149.044,3,1,1,1.0,149.044,C2,160.47,186.06999999999996,ARRIVED,11.425999999999988,25.599999999999966,37.025999999999954
P00025,163.513,2,1,1,1.0,163.513,C1,182.72,191.11999999999998,ARRIVED,19.206999999999994,8.399999999999977,27.60699999999997
P00026,174.502,4,1,1,1.0,174.502,C2,197.56999999999996,219.96999999999997,ARRIVED,23.067999999999955,22.400000000000006,45.46799999999996
P00027,189.213,5,1,1,1.0,189.213,C3,201.713,242.21299999999994,ARRIVED,12.5,40.49999999999994,52.99999999999994
P00028,190.426,4,1,1,1.0,190.426,C3,208.91299999999998,242.21299999999994,ARRIVED,18.486999999999995,33.299999999999955,51.78699999999995
P00029,193.274,7,1,1,1.0,193.274,C1,210.774,236.37399999999997,ARRIVED,17.5,25.599999999999966,43.099999999999966
P00030,194.585,4,1,1,1.0,194.585,C1,222.974,236.37399999999997,ARRIVED,28.38899999999998,13.399999999999977,41.78899999999996
P00031,196.566,2,1,1,1.0,196.566,C2,207.26999999999995,219.96999999999997,ARRIVED,10.70399999999995,12.700000000000017,23.403999999999968
P00032,202.885,2,1,1,1.0,202.885,C2,207.26999999999995,219.96999999999997,ARRIVED,4.3849999999999625,12.700000000000017,17.08499999999998
P00033,208.284,3,1,1,1.0,208.284,C3,216.11299999999997,242.21299999999994,ARRIVED,7.828999999999979,26.099999999999966,33.928999999999945
P00034,212.691,4,1,1,1.0,212.691,C3,223.31299999999996,242.21299999999994,ARRIVED,10.621999999999957,18.899999999999977,29.521999999999935
P00035,221.83,7,1,1,1.0,221.83,C2,239.33,307.12999999999994,ARRIVED,17.5,67.79999999999993,85.29999999999993
