passenger_id,hall_arrival_time,origin_floor,destination_floor,group_size,luggage_factor,call_time,assigned_car_id,board_time,arrival_time,status,waiting_time,ride_time,total_service_time
P00001,3.411,7,1,1,1.0,3.411,C1,20.911,51.511,ARRIVED,17.5,30.6,48.1
P00002,16.042,8,1,1,1.0,16.042,C1,28.111,51.511,ARRIVED,12.068999999999999,23.400000000000002,35.469
P00003,50.591,5,1,1,1.0,50.591,C1,65.511,142.611,ARRIVED,14.919999999999995,77.1,92.01999999999998
P00004,56.541,6,1,1,1.0,56.541,C1,72.711,142.611,ARRIVED,16.17,69.89999999999999,86.07
P00005,69.093,7,1,1,1.0,69.093,C1,79.911,142.611,ARRIVED,10.817999999999998,62.69999999999999,73.51799999999999
P00006,74.667,8,1,1,1.0,74.667,C1,87.111,142.611,ARRIVED,12.444000000000003,55.499999999999986,67.94399999999999
P00007,88.627,5,1,1,1.0,88.627,C1,99.311,142.611,ARRIVED,10.684000000000012,43.29999999999998,53.983999999999995
P00008,90.302,8,1,1,1.0,90.302,C1,111.51100000000001,142.611,ARRIVED,21.209000000000003,31.09999999999998,52.30899999999998
P00009,94.643,7,1,1,1.0,94.643,C1,118.71100000000001,142.611,ARRIVED,24.068000000000012,23.899999999999977,47.96799999999999
P00010,104.965,3,1,1,1.0,104.965,C2,112.465,122.765,ARRIVED,7.5,10.299999999999997,17.799999999999997
P00011,134.401,6,1,1,1.0,134.401,C1,159.111,187.21099999999996,ARRIVED,24.70999999999998,28.099999999999966,52.809999999999945
P00012,147.61,7,1,1,1.0,147.61,C1,166.31099999999998,187.21099999999996,ARRIVED,18.700999999999965,20.899999999999977,39.60099999999994
P00013,153.499,3,1,1,1.0,153.499,C2,160.999,181.59899999999996,ARRIVED,7.5,20.599999999999966,28.099999999999966
P00014,153.554,4,1,1,1.0,153.554,C2,168.19899999999998,181.59899999999996,ARRIVED,14.644999999999982,13.399999999999977,28.04499999999996
P00015,153.821,2,1,1,1.0,153.821,C3,158.821,166.62099999999998,ARRIVED,5.0,7.799999999999983,12.799999999999983
P00016,174.497,3,1,1,1.0,174.497,C2,190.59899999999996,200.89899999999994,ARRIVED,16.101999999999947,10.299999999999983,26.40199999999993
P00017,179.428,2,1,1,1.0,179.428,C3,184.428,196.528,ARRIVED,5.0,12.099999999999994,17.099999999999994
P00018,182.031,2,1,1,1.0,182.031,C3,184.428,196.528,ARRIVED,2.3969999999999914,12.099999999999994,14.496999999999986
P00019,190.349,3,1,1,1.0,190.349,C3,205.528,215.82799999999997,ARRIVED,15.179000000000002,10.299999999999983,25.478999999999985
P00020,195.115,4,1,1,1.0,195.115,C2,212.39899999999994,235.4989999999999,ARRIVED,17.283999999999935,23.099999999999966,40.3839999999999
P00021,195.151,5,1,1,1.0,195.151,C2,219.59899999999993,235.4989999999999,ARRIVED,24.447999999999922,15.899999999999977,40.3479999999999
P00022,200.195,3,1,1,1.0,200.195,C1,207.695,223.29499999999996,ARRIVED,7.5,15.599999999999966,23.099999999999966
P00023,205.499,2,1,1,1.0,205.499,C1,214.89499999999998,223.29499999999996,ARRIVED,9.395999999999987,8.399999999999977,17.795999999999964
P00024,213.634,5,1,1,1.0,213.634,C3,229.82799999999997,245.12799999999996,ARRIVED,16.19399999999999,15.299999999999983,31.49399999999997
P00025,225.393,3,1,1,1.0,225.393,C2,254.1989999999999,265.0989999999999,ARRIVED,28.805999999999898,10.899999999999977,39.705999999999875
P00026,226.256,4,1,1,1.0,226.256,C2,246.9989999999999,265.0989999999999,ARRIVED,20.74299999999991,18.099999999999966,38.842999999999876
P00027,260.736,8,1,1,1.0,260.736,C2,286.5989999999999,367.1989999999998,ARRIVED,25.862999999999886,80.59999999999991,106.4629999999998
P00028,280.875,2,1,1,1.0,280.875,C2,306.29899999999986,367.1989999999998,ARRIVED,25.423999999999864,60.89999999999992,86.32399999999978
P00029,289.893,5,1,1,1.0,289.893,C3,302.393,317.693,ARRIVED,12.5,15.300000000000011,27.80000000000001
P00030,290.322,3,1,1,1.0,290.322,C1,297.822,308.122,ARRIVED,7.5,10.300000000000011,17.80000000000001
P00031,302.021,8,1,1,1.0,302.021,C2,325.99899999999985,367.1989999999998,ARRIVED,23.977999999999838,41.19999999999993,65.17799999999977
P00032,302.355,7,1,1,1.0,302.355,C2,333.19899999999984,367.1989999999998,ARRIVED,30.843999999999824,33.99999999999994,64.84399999999977
P00033,312.436,7,1,1,1.0,312.436,C3,336.693,398.1929999999999,ARRIVED,24.257000000000005,61.49999999999994,85.75699999999995
P00034,326.229,7,1,1,1.0,326.229,C2,333.19899999999984,367.1989999999998,ARRIVED,6.969999999999857,33.99999999999994,40.9699999999998
P00035,335.568,5,1,1,1.0,335.568,C2,343.5989999999998,367.1989999999998,ARRIVED,8.030999999999835,23.599999999999966,31.6309999999998
P00036,336.662,8,1,1,1.0,336.662,C3,343.893,398.1929999999999,ARRIVED,7.2309999999999945,54.299999999999955,61.53099999999995
P00037,342.181,4,1,1,1.0,342.181,C3,358.59299999999996,398.1929999999999,ARRIVED,16.411999999999978,39.599999999999966,56.011999999999944
P00038,343.018,3,1,1,1.0,343.018,C2,353.2989999999998,367.1989999999998,ARRIVED,10.280999999999835,13.899999999999977,24.180999999999813
P00039,346.229,6,1,1,1.0,346.229,C3,377.99299999999994,398.1929999999999,ARRIVED,31.763999999999953,20.19999999999999,51.96399999999994
P00040,354.226,7,1,1,1.0,354.226,C3,370.79299999999995,398.1929999999999,ARRIVED,16.56699999999995,27.399999999999977,43.96699999999993
P00041,359.216,7,1,1,1.0,359.216,C2,386.1989999999998,406.4989999999998,ARRIVED,26.982999999999777,20.30000000000001,47.28299999999979
P00042,366.092,8,1,1,1.0,366.092,C1,386.092,408.892,ARRIVED,20.0,22.80000000000001,42.80000000000001
P00043,380.21,4,1,1,1.0,380.21,C3,409.6929999999999,422.49299999999994,ARRIVED,29.482999999999947,12.800000000000011,42.28299999999996
P00044,394.663,2,1,1,1.0,394.663,C2,412.9989999999998,425.09899999999976,ARRIVED,18.335999999999785,12.099999999999966,30.43599999999975
P00045,405.68,8,1,1,1.0,405.68,C1,430.392,458.49199999999996,ARRIVED,24.71199999999999,28.099999999999966,52.811999999999955
P00046,408.869,2,1,1,1.0,408.869,C2,412.9989999999998,425.09899999999976,ARRIVED,4.129999999999768,12.099999999999966,16.229999999999734
P00047,414.12,4,1,1,1.0,414.12,C3,433.99299999999994,446.79299999999995,ARRIVED,19.872999999999934,12.800000000000011,32.672999999999945
P00048,425.064,7,1,1,1.0,425.064,C1,437.592,458.49199999999996,ARRIVED,12.527999999999963,20.899999999999977,33.42799999999994
P00049,425.2,3,1,1,1.0,425.2,C2,434.09899999999976,449.6989999999997,ARRIVED,8.898999999999774,15.599999999999966,24.49899999999974
P00050,433.516,2,1,1,1.0,433.516,C2,441.29899999999975,449.6989999999997,ARRIVED,7.782999999999731,8.399999999999977,16.18299999999971
P00051,447.31,3,1,1,1.0,447.31,C2,458.6989999999997,519.4989999999997,ARRIVED,11.388999999999726,60.799999999999955,72.18899999999968
P00052,452.561,8,1,1,1.0,452.561,C1,479.99199999999996,509.39199999999994,ARRIVED,27.430999999999983,29.399999999999977,56.83099999999996
P00053,452.808,8,1,1,1.0,452.808,C1,479.99199999999996,509.39199999999994,ARRIVED,27.18399999999997,29.399999999999977,56.583999999999946
