,average_waiting_time_mean,average_waiting_time_std,median_waiting_time_mean,median_waiting_time_std,p95_waiting_time_mean,p95_waiting_time_std,max_waiting_time_mean,max_waiting_time_std,average_ride_time_mean,average_ride_time_std,average_total_service_time_mean,average_total_service_time_std,pct_waited_over_30s_mean,pct_waited_over_30s_std,pct_waited_over_60s_mean,pct_waited_over_60s_std,left_behind_count_mean,left_behind_count_std,left_behind_rate_mean,left_behind_rate_std,transported_count_mean,transported_count_std,throughput_per_hour_mean,throughput_per_hour_std,evaluated_passenger_count_mean,evaluated_passenger_count_std,n_runs,empty_distance_mean,empty_distance_std,stop_count_mean,stop_count_std,total_distance_mean,total_distance_std
myopic,17.65293806910026,0.7726586171717696,16.200399999999654,0.8614330734308061,36.13531999999981,0.8729067994926012,51.67799999999943,5.6757728989094955,26.642119790178395,0.8112716868596236,44.29505785927866,1.3413727027319662,0.12741341387371782,0.017465052169838447,0.0004098360655737705,0.000819672131147541,0.0,0.0,0.0,0.0,461.4,15.2,461.4,15.200000000000022,461.4,15.2,5.0,790.2,52.43433989286029,690.4,20.934182573007238,2108.4,112.33806122592645
nearest_car,18.10319461080338,0.7000962834264022,16.823099999999886,0.5434617189830517,37.554539999999115,0.8615956008472075,59.1609999999996,6.855273094486492,23.392528341504423,1.1948320876066876,41.49572295230781,1.5044367726227663,0.14486160528817965,0.02333075746754679,0.0012747262011511434,0.00104165403222291,0.0,0.0,0.0,0.0,461.4,15.2,461.4,15.200000000000022,461.4,15.2,5.0,923.0,38.1103660438994,729.4,15.894653189044421,2250.8,82.57457235735465
prescient,17.923838135751502,0.7640038593731272,16.679799999999886,0.7237606372274669,36.7617299999997,2.6631614343858097,59.59999999999961,4.917480045713737,24.57927084807877,1.6259089117898995,42.503108983830266,2.178308424713982,0.11794944752767851,0.0259827642828096,0.002119344875420566,0.0018903359679733722,0.0,0.0,0.0,0.0,461.4,15.2,461.4,15.200000000000022,461.4,15.2,5.0,994.0,39.33954753171419,737.6,9.243376006633074,2462.8,78.25701246533757
predictive,18.258011812551207,0.7343103832069064,17.094799999999374,0.5847591470007497,36.832169999999884,1.3894281163847573,57.427999999999386,3.026509672874103,26.041516093694565,1.1720964232465214,44.29952790624578,1.7900838729006918,0.12378120789724956,0.02034610306869804,0.0004098360655737705,0.000819672131147541,0.0,0.0,0.0,0.0,461.4,15.2,461.4,15.200000000000022,461.4,15.2,5.0,900.0,18.121810064118872,707.8,19.63058837630701,2290.0,77.3873374655053
