,baseline_scheduler,n_pairs,mean_waiting_time_difference_seconds,difference_ci95_low,difference_ci95_high,improvement_pct
nearest_car,myopic,5,0.4502565417031249,0.2700995912405686,0.6304134921656812,-2.5506039841110355
prescient,myopic,5,0.2709000666512445,-0.018683388171790383,0.5604835214742794,-1.5345891182013975
predictive,myopic,5,0.6050737434509493,0.3397804870593796,0.8703669998425191,-3.4276092800102873
