passenger_id,hall_arrival_time,origin_floor,destination_floor,group_size,luggage_factor,call_time,assigned_car_id,board_time,arrival_time,status,waiting_time,ride_time,total_service_time
P00001,3.862,6,1,1,1.0,3.862,C1,18.862000000000002,41.962,ARRIVED,15.000000000000002,23.1,38.1
P00002,11.623,5,1,1,1.0,11.623,C1,26.062,41.962,ARRIVED,14.439000000000002,15.900000000000002,30.339000000000006
P00003,15.436,4,1,1,1.0,15.436,C2,25.436,43.536,ARRIVED,10.0,18.1,28.1
P00004,20.59,2,1,1,1.0,20.59,C2,35.135999999999996,43.536,ARRIVED,14.545999999999996,8.400000000000006,22.946
P00005,37.436,7,1,1,1.0,37.436,C1,60.962,102.16200000000002,ARRIVED,23.526000000000003,41.20000000000002,64.72600000000003
P00006,44.152,4,1,1,1.0,44.152,C1,73.162,102.16200000000002,ARRIVED,29.010000000000005,29.000000000000014,58.01000000000002
P00007,47.544,2,1,1,1.0,47.544,C2,52.544,100.944,ARRIVED,5.0,48.400000000000006,53.400000000000006
P00008,47.608,8,1,1,1.0,47.608,C2,72.244,100.944,ARRIVED,24.636000000000003,28.700000000000003,53.336000000000006
P00009,51.772,7,1,1,1.0,51.772,C3,69.27199999999999,94.872,ARRIVED,17.499999999999993,25.60000000000001,43.1
P00010,54.421,6,1,1,1.0,54.421,C3,76.472,94.872,ARRIVED,22.050999999999995,18.400000000000006,40.451
P00011,54.44,3,1,1,1.0,54.44,C1,80.36200000000001,102.16200000000002,ARRIVED,25.92200000000001,21.80000000000001,47.72200000000002
P00012,64.475,4,1,1,1.0,64.475,C2,86.944,100.944,ARRIVED,22.46900000000001,14.0,36.46900000000001
P00013,77.692,4,1,1,1.0,77.692,C1,87.56200000000001,102.16200000000002,ARRIVED,9.870000000000019,14.600000000000009,24.470000000000027
P00014,81.253,5,1,1,1.0,81.253,C3,108.872,124.172,ARRIVED,27.619,15.299999999999997,42.919
P00015,94.799,5,1,1,1.0,94.799,C1,116.16200000000002,146.762,ARRIVED,21.363000000000014,30.59999999999998,51.962999999999994
P00016,107.111,7,1,1,1.0,107.111,C1,125.86200000000002,146.762,ARRIVED,18.75100000000002,20.899999999999977,39.650999999999996
P00017,113.338,5,1,1,1.0,113.338,C3,138.172,153.47199999999998,ARRIVED,24.834000000000003,15.299999999999983,40.133999999999986
P00018,114.526,2,1,1,1.0,114.526,C2,119.526,127.326,ARRIVED,5.0,7.799999999999997,12.799999999999997
