passenger_id,hall_arrival_time,origin_floor,destination_floor,group_size,luggage_factor,call_time,assigned_car_id,board_time,arrival_time,status,waiting_time,ride_time,total_service_time
P00001,25.17,6,1,1,1.0,25.17,C2,40.17,68.27000000000001,ARRIVED,15.0,28.10000000000001,43.10000000000001
P00002,26.137,7,1,1,1.0,26.137,C1,43.637,69.23700000000001,ARRIVED,17.5,25.60000000000001,43.10000000000001
P00003,39.648,7,1,1,1.0,39.648,C2,47.370000000000005,68.27000000000001,ARRIVED,7.722000000000001,20.900000000000006,28.622000000000007
P00004,40.745,4,1,1,1.0,40.745,C1,55.837,69.23700000000001,ARRIVED,15.092000000000006,13.400000000000006,28.49200000000001
P00005,55.97,8,1,1,1.0,55.97,C2,89.77000000000001,117.87000000000002,ARRIVED,33.80000000000001,28.10000000000001,61.90000000000002
P00006,61.997,8,1,1,1.0,61.997,C1,90.73700000000001,195.33699999999996,ARRIVED,28.74000000000001,104.59999999999995,133.33999999999997
P00007,71.542,4,1,1,1.0,71.542,C2,104.47000000000001,117.87000000000002,ARRIVED,32.92800000000001,13.400000000000006,46.32800000000002
P00008,73.758,4,1,1,1.0,73.758,C3,83.758,96.55799999999999,ARRIVED,10.0,12.799999999999997,22.799999999999997
P00009,74.18,3,1,1,1.0,74.18,C1,107.93700000000001,195.33699999999996,ARRIVED,33.757000000000005,87.39999999999995,121.15699999999995
P00010,89.304,8,1,1,1.0,89.304,C3,122.758,187.05799999999996,ARRIVED,33.45399999999999,64.29999999999997,97.75399999999996
P00011,92.581,2,1,1,1.0,92.581,C3,142.458,187.05799999999996,ARRIVED,49.876999999999995,44.599999999999966,94.47699999999996
P00012,92.672,4,1,1,1.0,92.672,C3,108.05799999999999,187.05799999999996,ARRIVED,15.385999999999996,78.99999999999997,94.38599999999997
P00013,101.025,8,1,1,1.0,101.025,C1,125.13700000000001,195.33699999999996,ARRIVED,24.11200000000001,70.19999999999995,94.31199999999995
P00014,119.126,6,1,1,1.0,119.126,C1,154.537,195.33699999999996,ARRIVED,35.411,40.799999999999955,76.21099999999996
P00015,119.529,3,1,1,1.0,119.529,C1,142.33700000000002,195.33699999999996,ARRIVED,22.80800000000002,52.99999999999994,75.80799999999996
P00016,124.625,4,1,1,1.0,124.625,C2,134.625,152.72499999999997,ARRIVED,10.0,18.099999999999966,28.099999999999966
P00017,125.396,2,1,1,1.0,125.396,C2,144.325,152.72499999999997,ARRIVED,18.928999999999988,8.399999999999977,27.328999999999965
P00018,126.219,7,1,1,1.0,126.219,C3,159.658,187.05799999999996,ARRIVED,33.43899999999999,27.399999999999977,60.83899999999997
P00019,127.599,6,1,1,1.0,127.599,C3,166.85799999999998,187.05799999999996,ARRIVED,39.25899999999997,20.19999999999999,59.45899999999996
P00020,146.145,8,1,1,1.0,146.145,C1,164.237,195.33699999999996,ARRIVED,18.091999999999985,31.099999999999966,49.19199999999995
P00021,157.204,4,1,1,1.0,157.204,C1,178.93699999999998,195.33699999999996,ARRIVED,21.732999999999976,16.399999999999977,38.13299999999995
P00022,170.169,5,1,1,1.0,170.169,C3,210.75799999999995,227.95799999999997,ARRIVED,40.58899999999994,17.200000000000017,57.78899999999996
P00023,173.832,6,1,1,1.0,173.832,C3,203.55799999999996,227.95799999999997,ARRIVED,29.72599999999997,24.400000000000006,54.125999999999976
P00024,176.858,5,1,1,1.0,176.858,C3,210.75799999999995,227.95799999999997,ARRIVED,33.89999999999995,17.200000000000017,51.099999999999966
P00025,184.803,4,1,1,1.0,184.803,C1,206.83699999999996,250.23699999999994,ARRIVED,22.033999999999963,43.39999999999998,65.43399999999994
P00026,184.963,6,1,1,1.0,184.963,C1,216.53699999999995,250.23699999999994,ARRIVED,31.573999999999955,33.69999999999999,65.27399999999994
P00027,185.153,8,1,1,1.0,185.153,C1,226.23699999999994,250.23699999999994,ARRIVED,41.083999999999946,24.0,65.08399999999995
P00028,193.409,7,1,1,1.0,193.409,C2,210.909,231.20899999999997,ARRIVED,17.5,20.299999999999983,37.79999999999998
P00029,232.851,7,1,1,1.0,232.851,C1,278.93699999999995,305.13699999999994,ARRIVED,46.085999999999956,26.19999999999999,72.28599999999994
P00030,240.772,8,1,1,1.0,240.772,C1,271.73699999999997,305.13699999999994,ARRIVED,30.964999999999975,33.39999999999998,64.36499999999995
P00031,243.774,3,1,1,1.0,243.774,C2,251.274,261.574,ARRIVED,7.5,10.300000000000011,17.80000000000001
P00032,247.783,8,1,1,1.0,247.783,C3,267.783,301.183,ARRIVED,20.00000000000003,33.39999999999998,53.400000000000006
P00033,249.425,4,1,1,1.0,249.425,C3,282.483,301.183,ARRIVED,33.05799999999999,18.69999999999999,51.75799999999998
P00034,258.204,6,1,1,1.0,258.204,C2,278.074,300.174,ARRIVED,19.870000000000005,22.099999999999966,41.96999999999997
P00035,266.951,6,1,1,1.0,266.951,C2,278.074,300.174,ARRIVED,11.12299999999999,22.099999999999966,33.222999999999956
P00036,270.573,3,1,1,1.0,270.573,C3,289.683,301.183,ARRIVED,19.110000000000014,11.5,30.610000000000014
P00037,276.02,6,1,1,1.0,276.02,C1,286.13699999999994,305.13699999999994,ARRIVED,10.116999999999962,19.0,29.116999999999962
P00038,286.25,8,1,1,1.0,286.25,C2,321.674,349.77399999999994,ARRIVED,35.42399999999998,28.099999999999966,63.523999999999944
P00039,295.039,2,1,1,1.0,295.039,C3,307.683,315.483,ARRIVED,12.644000000000005,7.800000000000011,20.444000000000017
P00040,299.52,7,1,1,1.0,299.52,C1,324.13699999999994,345.7369999999999,ARRIVED,24.616999999999962,21.599999999999966,46.21699999999993
P00041,300.035,7,1,1,1.0,300.035,C1,324.13699999999994,345.7369999999999,ARRIVED,24.10199999999992,21.599999999999966,45.701999999999884
P00042,322.866,7,1,1,1.0,322.866,C2,328.87399999999997,349.77399999999994,ARRIVED,6.007999999999981,20.899999999999977,26.90799999999996
P00043,327.057,6,1,1,1.0,327.057,C1,371.9369999999999,395.6369999999999,ARRIVED,44.87999999999988,23.69999999999999,68.57999999999987
P00044,337.1,7,1,1,1.0,337.1,C1,364.7369999999999,395.6369999999999,ARRIVED,27.636999999999887,30.899999999999977,58.536999999999864
P00045,338.669,8,1,1,1.0,338.669,C3,358.669,386.76899999999995,ARRIVED,20.0,28.099999999999966,48.099999999999966
P00046,341.774,3,1,1,1.0,341.774,C3,375.86899999999997,386.76899999999995,ARRIVED,34.09499999999997,10.899999999999977,44.99499999999995
P00047,371.401,5,1,1,1.0,371.401,C1,379.1369999999999,395.6369999999999,ARRIVED,7.735999999999876,16.5,24.235999999999876
P00048,381.994,4,1,1,1.0,381.994,C1,407.1369999999999,445.23699999999985,ARRIVED,25.14299999999986,38.099999999999966,63.242999999999824
P00049,382.671,8,1,1,1.0,382.671,C1,421.8369999999999,445.23699999999985,ARRIVED,39.16599999999988,23.399999999999977,62.56599999999986
P00050,383.09,6,1,1,1.0,383.09,C3,403.26899999999995,421.06899999999996,ARRIVED,20.178999999999974,17.80000000000001,37.978999999999985
P00051,386.446,2,1,1,1.0,386.446,C2,391.446,399.24600000000004,ARRIVED,5.0,7.800000000000011,12.800000000000011
P00052,429.68,5,1,1,1.0,429.68,C3,442.18,462.78,ARRIVED,12.5,20.599999999999966,33.099999999999966
P00053,431.26,4,1,1,1.0,431.26,C3,449.38,462.78,ARRIVED,18.120000000000005,13.399999999999977,31.519999999999982
P00054,435.286,3,1,1,1.0,435.286,C2,442.786,457.38599999999997,ARRIVED,7.5,14.599999999999966,22.099999999999966
P00055,436.84,3,1,1,1.0,436.84,C2,442.786,457.38599999999997,ARRIVED,5.946000000000026,14.599999999999966,20.545999999999992
P00056,456.181,8,1,1,1.0,456.181,C3,484.28,507.08,ARRIVED,28.09899999999999,22.80000000000001,50.899
P00057,456.365,3,1,1,1.0,456.365,C2,466.38599999999997,486.98599999999993,ARRIVED,10.020999999999958,20.599999999999966,30.620999999999924
P00058,456.911,6,1,1,1.0,456.911,C1,471.911,495.01099999999997,ARRIVED,15.0,23.099999999999966,38.099999999999966
P00059,460.342,3,1,1,1.0,460.342,C1,484.111,495.01099999999997,ARRIVED,23.769000000000005,10.899999999999977,34.66899999999998
P00060,460.959,4,1,1,1.0,460.959,C2,473.58599999999996,486.98599999999993,ARRIVED,12.626999999999953,13.399999999999977,26.02699999999993
P00061,478.668,8,1,1,1.0,478.668,C2,508.48599999999993,531.286,ARRIVED,29.817999999999927,22.80000000000001,52.61799999999994
P00062,496.832,8,1,1,1.0,496.832,C3,528.5799999999999,567.2800000000001,ARRIVED,31.747999999999934,38.70000000000016,70.44800000000009
P00063,502.263,3,1,1,1.0,502.263,C1,509.763,545.9630000000001,ARRIVED,7.5,36.2000000000001,43.7000000000001
P00064,502.778,4,1,1,1.0,502.778,C1,516.963,545.9630000000001,ARRIVED,14.184999999999945,29.000000000000114,43.18500000000006
P00065,512.984,5,1,1,1.0,512.984,C1,524.163,545.9630000000001,ARRIVED,11.178999999999974,21.800000000000068,32.97900000000004
P00066,516.894,7,1,1,1.0,516.894,C2,550.286,601.4860000000001,ARRIVED,33.39199999999994,51.20000000000016,84.5920000000001
P00067,520.077,3,1,1,1.0,520.077,C3,555.1800000000001,567.2800000000001,ARRIVED,35.103000000000065,12.100000000000023,47.20300000000009
P00068,523.636,2,1,1,1.0,523.636,C1,536.363,545.9630000000001,ARRIVED,12.72700000000009,9.600000000000023,22.327000000000112
P00069,529.007,6,1,1,1.0,529.007,C3,538.28,567.2800000000001,ARRIVED,9.273000000000025,29.000000000000114,38.27300000000014
P00070,536.71,6,1,1,1.0,536.71,C2,567.186,601.4860000000001,ARRIVED,30.476,34.30000000000007,64.77600000000007
P00071,537.027,5,1,1,1.0,537.027,C3,545.48,567.2800000000001,ARRIVED,8.452999999999975,21.800000000000068,30.253000000000043
P00072,539.112,5,1,1,1.0,539.112,C1,564.6630000000001,580.5630000000002,ARRIVED,25.55100000000016,15.900000000000091,41.45100000000025
P00073,540.581,4,1,1,1.0,540.581,C1,557.4630000000001,580.5630000000002,ARRIVED,16.882000000000062,23.100000000000136,39.9820000000002
P00074,550.315,8,1,1,1.0,550.315,C2,557.486,601.4860000000001,ARRIVED,7.170999999999935,44.000000000000114,51.17100000000005
P00075,559.66,6,1,1,1.0,559.66,C3,583.7800000000001,622.1800000000002,ARRIVED,24.12000000000012,38.40000000000009,62.52000000000021
P00076,565.11,8,1,1,1.0,565.11,C2,576.8860000000001,601.4860000000001,ARRIVED,11.776000000000067,24.600000000000023,36.37600000000009
P00077,569.016,5,1,1,1.0,569.016,C1,594.5630000000002,616.4630000000002,ARRIVED,25.547000000000253,21.899999999999977,47.44700000000023
P00078,576.0,5,1,1,1.0,576.0,C1,594.5630000000002,616.4630000000002,ARRIVED,18.563000000000216,21.899999999999977,40.46300000000019
P00079,585.869,7,1,1,1.0,585.869,C3,590.9800000000001,622.1800000000002,ARRIVED,5.111000000000104,31.200000000000045,36.31100000000015
P00080,590.407,8,1,1,1.0,590.407,C3,598.1800000000002,622.1800000000002,ARRIVED,7.773000000000138,24.0,31.77300000000014
P00081,591.297,6,1,1,1.0,591.297,C2,617.9860000000001,635.7860000000002,ARRIVED,26.689000000000078,17.800000000000068,44.489000000000146
P00082,592.874,3,1,1,1.0,592.874,C1,604.9630000000002,616.4630000000002,ARRIVED,12.08900000000017,11.5,23.58900000000017
P00083,608.466,4,1,1,1.0,608.466,C1,627.9630000000002,640.7630000000003,ARRIVED,19.497000000000185,12.800000000000068,32.29700000000025
P00084,627.293,8,1,1,1.0,627.293,C2,661.9860000000002,685.3860000000003,ARRIVED,34.69300000000021,23.40000000000009,58.0930000000003
