time,call_id,passenger_id,origin_floor,destination_floor,car_id
1240.226,CALL000150,P00150,2,1,C2
1246.382,CALL000151,P00151,4,1,C3
1261.261,CALL000152,P00152,8,1,C1
1264.011,CALL000153,P00153,5,1,C3
1297.785,CALL000154,P00154,8,1,C3
1307.43,CALL000155,P00155,6,1,C1
1318.316,CALL000156,P00156,6,1,C2
1328.345,CALL000157,P00157,7,1,C3
1329.117,CALL000158,P00158,3,1,C3
1329.718,CALL000159,P00159,8,1,C1
1338.875,CALL000160,P00160,6,1,C2
1340.324,CALL000161,P00161,4,1,C2
1343.762,CALL000162,P00162,8,1,C2
1349.409,CALL000163,P00163,8,1,C1
1382.579,CALL000164,P00164,3,1,C1
1386.868,CALL000165,P00165,6,1,C3
1388.908,CALL000166,P00166,7,1,C3
1393.926,CALL000167,P00167,4,1,C2
1397.594,CALL000168,P00168,6,1,C1
1407.988,CALL000169,P00169,3,1,C1
1410.338,CALL000170,P00170,6,1,C1
1412.05,CALL000171,P00171,7,1,C1
1427.757,CALL000172,P00172,8,1,C3
1432.068,CALL000173,P00173,4,1,C1
1440.543,CALL000174,P00174,5,1,C1
1459.496,CALL000175,P00175,4,1,C1
1463.321,CALL000176,P00176,6,1,C3
1467.831,CALL000177,P00177,6,1,C3
1470.885,CALL000178,P00178,3,1,C2
1473.514,CALL000179,P00179,6,1,C3
1490.085,CALL000180,P00180,5,1,C2
1492.237,CALL000181,P00181,2,1,C1
1501.957,CALL000182,P00182,4,1,C1
1511.949,CALL000183,P00183,5,1,C2
1513.146,CALL000184,P00184,2,1,C1
1520.773,CALL000185,P00185,2,1,C2
1533.609,CALL000186,P00186,3,1,C1
1553.897,CALL000187,P00187,2,1,C3
1556.321,CALL000188,P00188,5,1,C1
1558.153,CALL000189,P00189,7,1,C2
1565.474,CALL000190,P00190,3,1,C1
1576.697,CALL000191,P00191,4,1,C2
1577.857,CALL000192,P00192,8,1,C3
1586.298,CALL000193,P00193,2,1,C1
1586.474,CALL000194,P00194,5,1,C1
1588.345,CALL000195,P00195,3,1,C2
1595.323,CALL000196,P00196,2,1,C3
1595.734,CALL000197,P00197,3,1,C3
