passenger_id,hall_arrival_time,origin_floor,destination_floor,group_size,luggage_factor,call_time,assigned_car_id,board_time,arrival_time,status,waiting_time,ride_time,total_service_time
P00001,3.703,4,1,1,1.0,3.703,C2,13.703,51.403,ARRIVED,10.0,37.7,47.699999999999996
P00002,6.062,6,1,1,1.0,6.062,C2,31.803,51.403,ARRIVED,25.741,19.599999999999998,45.341
P00003,13.415,4,1,1,1.0,13.415,C2,13.703,51.403,ARRIVED,0.28800000000000026,37.7,37.988
P00004,13.52,5,1,1,1.0,13.52,C2,24.603,51.403,ARRIVED,11.083000000000002,26.799999999999997,37.882999999999996
P00005,40.146,6,1,1,1.0,40.146,C2,67.90299999999999,106.303,ARRIVED,27.75699999999999,38.400000000000006,66.157
P00006,47.315,7,1,1,1.0,47.315,C2,75.103,106.303,ARRIVED,27.787999999999997,31.200000000000003,58.988
P00007,48.638,8,1,1,1.0,48.638,C1,68.638,102.03800000000001,ARRIVED,20.000000000000007,33.400000000000006,53.40000000000001
P00008,54.399,5,1,1,1.0,54.399,C1,80.83800000000001,102.03800000000001,ARRIVED,26.439000000000007,21.200000000000003,47.63900000000001
P00009,65.31,5,1,1,1.0,65.31,C3,77.81,93.11,ARRIVED,12.5,15.299999999999997,27.799999999999997
P00010,72.467,4,1,1,1.0,72.467,C1,88.03800000000001,102.03800000000001,ARRIVED,15.571000000000012,14.0,29.571000000000012
P00011,75.202,8,1,1,1.0,75.202,C2,82.303,106.303,ARRIVED,7.100999999999999,24.0,31.101
P00012,84.026,6,1,1,1.0,84.026,C3,109.61,138.01000000000002,ARRIVED,25.584000000000003,28.40000000000002,53.98400000000002
P00013,86.771,7,1,1,1.0,86.771,C2,125.303,169.10299999999998,ARRIVED,38.532,43.79999999999998,82.33199999999998
P00014,101.524,7,1,1,1.0,101.524,C2,125.303,169.10299999999998,ARRIVED,23.778999999999996,43.79999999999998,67.57899999999998
P00015,106.284,4,1,1,1.0,106.284,C3,119.31,138.01000000000002,ARRIVED,13.025999999999996,18.700000000000017,31.726000000000013
P00016,106.438,5,1,1,1.0,106.438,C1,118.938,159.838,ARRIVED,12.5,40.89999999999999,53.39999999999999
P00017,107.109,8,1,1,1.0,107.109,C1,135.838,159.838,ARRIVED,28.729,24.0,52.729
P00018,111.937,3,1,1,1.0,111.937,C3,126.51,138.01000000000002,ARRIVED,14.573000000000008,11.500000000000014,26.07300000000002
