passenger_id,hall_arrival_time,origin_floor,destination_floor,group_size,luggage_factor,call_time,assigned_car_id,board_time,arrival_time,status,waiting_time,ride_time,total_service_time
P00001,11.608,6,1,1,1.0,11.608,C1,26.608,65.00800000000001,ARRIVED,15.0,38.400000000000006,53.400000000000006
P00002,18.386,6,1,1,1.0,18.386,C2,33.385999999999996,108.28600000000002,ARRIVED,14.999999999999996,74.90000000000002,89.90000000000002
P00003,20.311,3,1,1,1.0,20.311,C1,53.508,65.00800000000001,ARRIVED,33.197,11.500000000000007,44.69700000000001
P00004,21.042,8,1,1,1.0,21.042,C1,36.308,65.00800000000001,ARRIVED,15.265999999999998,28.70000000000001,43.96600000000001
P00005,32.773,8,1,1,1.0,32.773,C2,43.086,108.28600000000002,ARRIVED,10.312999999999995,65.20000000000002,75.513
P00006,39.301,4,1,1,1.0,39.301,C2,57.786,108.28600000000002,ARRIVED,18.485,50.500000000000014,68.98500000000001
P00007,50.159,7,1,1,1.0,50.159,C2,69.986,108.28600000000002,ARRIVED,19.827000000000005,38.30000000000001,58.12700000000002
P00008,54.702,6,1,1,1.0,54.702,C2,77.88600000000001,108.28600000000002,ARRIVED,23.18400000000001,30.400000000000006,53.58400000000002
P00009,55.086,7,1,1,1.0,55.086,C2,69.986,108.28600000000002,ARRIVED,14.900000000000006,38.30000000000001,53.20000000000002
P00010,61.631,8,1,1,1.0,61.631,C3,81.631,109.73100000000001,ARRIVED,20.0,28.10000000000001,48.10000000000001
P00011,61.739,2,1,1,1.0,61.739,C1,71.50800000000001,149.508,ARRIVED,9.769000000000013,78.0,87.769
P00012,62.121,5,1,1,1.0,62.121,C3,93.831,109.73100000000001,ARRIVED,31.71,15.900000000000006,47.61000000000001
P00013,69.439,2,1,1,1.0,69.439,C1,71.50800000000001,149.508,ARRIVED,2.069000000000017,78.0,80.06900000000002
P00014,70.802,8,1,1,1.0,70.802,C1,94.90800000000002,149.508,ARRIVED,24.10600000000001,54.599999999999994,78.706
P00015,71.078,4,1,1,1.0,71.078,C2,91.28600000000002,108.28600000000002,ARRIVED,20.208000000000013,17.0,37.20800000000001
P00016,74.29,6,1,1,1.0,74.29,C2,77.88600000000001,108.28600000000002,ARRIVED,3.5960000000000036,30.400000000000006,33.99600000000001
P00017,82.001,6,1,1,1.0,82.001,C1,129.30800000000002,149.508,ARRIVED,47.307000000000016,20.19999999999999,67.507
P00018,83.134,2,1,1,1.0,83.134,C1,114.60800000000002,149.508,ARRIVED,31.474000000000018,34.89999999999999,66.37400000000001
P00019,96.708,5,1,1,1.0,96.708,C3,123.73100000000001,223.03099999999998,ARRIVED,27.02300000000001,99.29999999999997,126.32299999999998
P00020,112.156,7,1,1,1.0,112.156,C2,129.656,160.55599999999998,ARRIVED,17.5,30.899999999999977,48.39999999999998
P00021,117.17,3,1,1,1.0,117.17,C2,149.05599999999998,160.55599999999998,ARRIVED,31.88599999999998,11.5,43.38599999999998
P00022,121.719,5,1,1,1.0,121.719,C2,139.356,160.55599999999998,ARRIVED,17.637,21.19999999999999,38.83699999999999
P00023,125.863,6,1,1,1.0,125.863,C3,130.931,223.03099999999998,ARRIVED,5.068000000000012,92.09999999999997,97.16799999999998
P00024,130.002,6,1,1,1.0,130.002,C3,130.931,223.03099999999998,ARRIVED,0.929000000000002,92.09999999999997,93.02899999999997
P00025,135.123,2,1,1,1.0,135.123,C3,149.33100000000002,223.03099999999998,ARRIVED,14.208000000000027,73.69999999999996,87.90799999999999
P00026,139.277,7,1,1,1.0,139.277,C1,173.208,234.30799999999996,ARRIVED,33.93100000000001,61.099999999999966,95.03099999999998
P00027,141.775,6,1,1,1.0,141.775,C3,165.431,223.03099999999998,ARRIVED,23.656000000000006,57.599999999999966,81.25599999999997
P00028,142.541,2,1,1,1.0,142.541,C3,149.33100000000002,223.03099999999998,ARRIVED,6.7900000000000205,73.69999999999996,80.48999999999998
P00029,143.088,2,1,1,1.0,143.088,C3,149.33100000000002,223.03099999999998,ARRIVED,6.243000000000023,73.69999999999996,79.94299999999998
P00030,144.092,3,1,1,1.0,144.092,C1,158.508,234.30799999999996,ARRIVED,14.415999999999997,75.79999999999995,90.21599999999995
P00031,153.365,7,1,1,1.0,153.365,C2,179.55599999999998,199.85599999999997,ARRIVED,26.190999999999974,20.299999999999983,46.49099999999996
P00032,157.19,3,1,1,1.0,157.19,C3,196.331,223.03099999999998,ARRIVED,39.14099999999999,26.69999999999999,65.84099999999998
P00033,164.39,3,1,1,1.0,164.39,C3,196.331,223.03099999999998,ARRIVED,31.941000000000003,26.69999999999999,58.64099999999999
P00034,167.276,7,1,1,1.0,167.276,C3,172.631,223.03099999999998,ARRIVED,5.35499999999999,50.39999999999998,55.75499999999997
P00035,167.953,4,1,1,1.0,167.953,C1,185.408,234.30799999999996,ARRIVED,17.454999999999984,48.89999999999998,66.35499999999996
P00036,171.334,6,1,1,1.0,171.334,C1,195.10799999999998,234.30799999999996,ARRIVED,23.773999999999972,39.19999999999999,62.97399999999996
P00037,184.773,8,1,1,1.0,184.773,C2,221.35599999999997,314.95599999999985,ARRIVED,36.58299999999997,93.59999999999988,130.18299999999985
P00038,190.833,6,1,1,1.0,190.833,C1,195.10799999999998,234.30799999999996,ARRIVED,4.274999999999977,39.19999999999999,43.474999999999966
P00039,195.977,8,1,1,1.0,195.977,C1,208.50799999999998,234.30799999999996,ARRIVED,12.530999999999977,25.799999999999983,38.33099999999996
P00040,197.701,4,1,1,1.0,197.701,C3,204.231,223.03099999999998,ARRIVED,6.530000000000001,18.799999999999983,25.329999999999984
P00041,217.904,3,1,1,1.0,217.904,C2,238.55599999999995,314.95599999999985,ARRIVED,20.65199999999996,76.39999999999989,97.05199999999985
P00042,218.676,6,1,1,1.0,218.676,C3,239.53099999999998,257.331,ARRIVED,20.85499999999999,17.80000000000004,38.65500000000003
P00043,223.554,4,1,1,1.0,223.554,C1,245.80799999999996,263.90799999999996,ARRIVED,22.253999999999962,18.099999999999994,40.35399999999996
P00044,228.642,3,1,1,1.0,228.642,C1,253.00799999999995,263.90799999999996,ARRIVED,24.365999999999957,10.900000000000006,35.26599999999996
P00045,231.607,6,1,1,1.0,231.607,C2,250.75599999999994,314.95599999999985,ARRIVED,19.148999999999944,64.1999999999999,83.34899999999985
P00046,242.299,5,1,1,1.0,242.299,C2,272.6559999999999,314.95599999999985,ARRIVED,30.356999999999886,42.299999999999955,72.65699999999984
P00047,243.226,3,1,1,1.0,243.226,C2,262.9559999999999,314.95599999999985,ARRIVED,19.729999999999905,51.99999999999994,71.72999999999985
P00048,252.686,7,1,1,1.0,252.686,C3,276.331,301.931,ARRIVED,23.64500000000001,25.599999999999966,49.244999999999976
P00049,271.714,8,1,1,1.0,271.714,C2,284.8559999999999,314.95599999999985,ARRIVED,13.141999999999882,30.099999999999966,43.24199999999985
P00050,278.138,5,1,1,1.0,278.138,C3,286.031,301.931,ARRIVED,7.893000000000029,15.899999999999977,23.793000000000006
P00051,284.76,8,1,1,1.0,284.76,C2,284.8559999999999,314.95599999999985,ARRIVED,0.09599999999988995,30.099999999999966,30.195999999999856
P00052,288.873,4,1,1,1.0,288.873,C3,313.431,341.53099999999995,ARRIVED,24.557999999999993,28.099999999999966,52.65799999999996
P00053,295.51,8,1,1,1.0,295.51,C2,336.45599999999985,400.7559999999998,ARRIVED,40.945999999999856,64.29999999999995,105.24599999999981
P00054,298.052,5,1,1,1.0,298.052,C2,348.65599999999984,400.7559999999998,ARRIVED,50.603999999999814,52.099999999999966,102.70399999999978
P00055,302.591,4,1,1,1.0,302.591,C1,312.591,355.59099999999995,ARRIVED,10.0,42.99999999999994,52.99999999999994
P00056,304.075,6,1,1,1.0,304.075,C1,322.291,355.59099999999995,ARRIVED,18.216000000000008,33.299999999999955,51.51599999999996
P00057,304.3,6,1,1,1.0,304.3,C3,323.131,341.53099999999995,ARRIVED,18.83099999999996,18.399999999999977,37.23099999999994
P00058,322.788,4,1,1,1.0,322.788,C1,331.991,355.59099999999995,ARRIVED,9.202999999999975,23.599999999999966,32.80299999999994
