passenger_id,hall_arrival_time,origin_floor,destination_floor,group_size,luggage_factor,call_time,assigned_car_id,board_time,arrival_time,status,waiting_time,ride_time,total_service_time
P00001,7.305,3,1,1,1.0,7.305,C1,14.805,25.105,ARRIVED,7.5,10.3,17.8
P00002,24.812,4,1,1,1.0,24.812,C2,34.812,47.612,ARRIVED,9.999999999999996,12.800000000000004,22.8
P00003,26.687,4,1,1,1.0,26.687,C1,36.687,49.487,ARRIVED,9.999999999999996,12.800000000000004,22.8
P00004,39.139,3,1,1,1.0,39.139,C2,56.612,107.81200000000003,ARRIVED,17.473,51.200000000000024,68.67300000000003
P00005,40.579,7,1,1,1.0,40.579,C1,68.487,108.68700000000001,ARRIVED,27.907999999999994,40.20000000000002,68.108
P00006,42.455,8,1,1,1.0,42.455,C1,75.687,108.68700000000001,ARRIVED,33.232,33.000000000000014,66.23200000000001
P00007,42.756,6,1,1,1.0,42.756,C2,68.81200000000001,107.81200000000003,ARRIVED,26.05600000000001,39.000000000000014,65.05600000000003
P00008,53.356,3,1,1,1.0,53.356,C3,60.856,101.05600000000001,ARRIVED,7.5,40.20000000000001,47.70000000000001
P00009,53.811,3,1,1,1.0,53.811,C3,60.856,101.05600000000001,ARRIVED,7.045000000000002,40.20000000000001,47.24500000000001
P00010,58.928,2,1,1,1.0,58.928,C3,91.456,101.05600000000001,ARRIVED,32.528000000000006,9.600000000000009,42.128000000000014
P00011,59.145,6,1,1,1.0,59.145,C3,76.756,101.05600000000001,ARRIVED,17.610999999999997,24.30000000000001,41.91100000000001
P00012,64.576,2,1,1,1.0,64.576,C2,83.51200000000001,107.81200000000003,ARRIVED,18.93600000000002,24.30000000000001,43.23600000000003
P00013,74.858,7,1,1,1.0,74.858,C1,82.887,108.68700000000001,ARRIVED,8.028999999999996,25.80000000000001,33.82900000000001
P00014,79.28,4,1,1,1.0,79.28,C2,93.21200000000002,107.81200000000003,ARRIVED,13.932000000000016,14.600000000000009,28.532000000000025
P00015,79.659,7,1,1,1.0,79.659,C1,82.887,108.68700000000001,ARRIVED,3.2279999999999944,25.80000000000001,29.028000000000006
P00016,105.753,3,1,1,1.0,105.753,C3,113.253,148.85299999999998,ARRIVED,7.5,35.59999999999998,43.09999999999998
P00017,111.843,7,1,1,1.0,111.843,C3,127.953,148.85299999999998,ARRIVED,16.11,20.899999999999977,37.00999999999998
P00018,135.102,4,1,1,1.0,135.102,C3,160.35299999999998,173.15299999999996,ARRIVED,25.250999999999976,12.799999999999983,38.05099999999996
P00019,145.04,8,1,1,1.0,145.04,C1,165.04,193.13999999999996,ARRIVED,20.0,28.099999999999966,48.099999999999966
P00020,154.537,7,1,1,1.0,154.537,C2,172.037,233.23699999999997,ARRIVED,17.5,61.19999999999996,78.69999999999996
P00021,154.813,2,1,1,1.0,154.813,C1,184.73999999999998,193.13999999999996,ARRIVED,29.926999999999992,8.399999999999977,38.32699999999997
P00022,164.621,2,1,1,1.0,164.621,C2,189.237,233.23699999999997,ARRIVED,24.615999999999985,43.99999999999997,68.61599999999996
P00023,177.499,7,1,1,1.0,177.499,C2,206.43699999999998,233.23699999999997,ARRIVED,28.937999999999988,26.799999999999983,55.73799999999997
P00024,180.288,2,1,1,1.0,180.288,C3,185.288,193.088,ARRIVED,5.0,7.799999999999983,12.799999999999983
P00025,187.743,2,1,1,1.0,187.743,C3,199.588,207.38799999999998,ARRIVED,11.844999999999999,7.799999999999983,19.644999999999982
P00026,188.433,4,1,1,1.0,188.433,C1,204.63999999999996,218.73999999999995,ARRIVED,16.206999999999965,14.099999999999994,30.30699999999996
P00027,191.243,4,1,1,1.0,191.243,C1,204.63999999999996,218.73999999999995,ARRIVED,13.396999999999963,14.099999999999994,27.496999999999957
P00028,194.727,4,1,1,1.0,194.727,C2,218.63699999999997,233.23699999999997,ARRIVED,23.909999999999968,14.599999999999994,38.50999999999996
P00029,211.247,2,1,1,1.0,211.247,C3,216.247,224.047,ARRIVED,5.0,7.799999999999983,12.799999999999983
P00030,222.58,6,1,1,1.0,222.58,C2,249.73699999999997,278.43699999999995,ARRIVED,27.156999999999954,28.69999999999999,55.85699999999994
P00031,222.713,3,1,1,1.0,222.713,C1,230.213,277.71299999999997,ARRIVED,7.5,47.49999999999997,54.99999999999997
P00032,223.173,6,1,1,1.0,223.173,C2,249.73699999999997,278.43699999999995,ARRIVED,26.563999999999965,28.69999999999999,55.26399999999995
P00033,231.604,4,1,1,1.0,231.604,C1,237.41299999999998,277.71299999999997,ARRIVED,5.808999999999969,40.29999999999998,46.10899999999995
P00034,236.007,7,1,1,1.0,236.007,C1,249.61299999999997,277.71299999999997,ARRIVED,13.605999999999966,28.099999999999994,41.70599999999996
P00035,241.213,5,1,1,1.0,241.213,C1,259.313,277.71299999999997,ARRIVED,18.099999999999994,18.399999999999977,36.49999999999997
P00036,242.815,5,1,1,1.0,242.815,C1,259.313,277.71299999999997,ARRIVED,16.49799999999999,18.399999999999977,34.89799999999997
P00037,248.712,3,1,1,1.0,248.712,C2,266.337,278.43699999999995,ARRIVED,17.625,12.099999999999966,29.724999999999966
P00038,250.145,6,1,1,1.0,250.145,C2,254.13699999999997,278.43699999999995,ARRIVED,3.991999999999962,24.299999999999983,28.291999999999945
P00039,262.661,2,1,1,1.0,262.661,C3,267.661,351.2609999999999,ARRIVED,5.0,83.59999999999991,88.59999999999991
